Name,FileSpec,Template,Loadspec,Secondary,VolumeGroup,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMaxCurve,WetMaxCurve,DryMinCurve,WetMinCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Storage,Looping,RandomizeType,Probability,StartDelay,ReverbSend,Duck,Pan,CenterSend,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,DistanceLpfMin,DistanceLpfMax,FluxType,FluxTime,Subtitle,Doppler,Futz,ContextType,ContextValue,Compression,Timescale,IsMusic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Bus,DuckGroup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# WIND / AIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2D BGs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_exterior_2d,amb\environment\wind\clear\amb_wind_clear_ext.wav,AMB_AIR_ROOM_TONE_2D,,,,10,10,,,,,,,,2,reject,,,0,0,,,,,2d,streamed,looping,,,,10,,,,,,,,,,,,,,,,,,,,,,300,1000,,,,
amb_wind_interior_2d,amb\environment\wind\clear\amb_wind_clear_int.wav,AMB_AIR_ROOM_TONE_2D,,,,59,59,,,,,,,,2,reject,,,0,0,,,,,2d,streamed,looping,,,,10,,,,,,,,,,,,,,,,,,,,,,300,1000,,,,
amb_wind_ext_shrt_mn,amb\environment\wind\clear\amb_wind_clear_ext_shrt.wav,AMB_WIND_LOOP_3D,,,,64,64,75,250,251,,,,,3,priority,,,0,0,,,,,,,looping,,,,15,,,,75,250,98,0.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_air_narrow_l,amb\environment\wind\drafty\amb_wind_drafty_l_1.wav,AMB_WIND_LOOP_3D,,,,59,59,100,1200,1201,,,,,2,priority,,,,,,,,,,loaded,,,,,20,,,,300,900,90,0.4,,,,,,,,,,,,,,,,,,,,
#amb_air_narrow_r,amb\environment\wind\drafty\amb_wind_drafty_r_1.wav,AMB_WIND_LOOP_3D,,,,59,59,100,1200,1201,,,,,2,priority,,,,,,,,,,loaded,,,,,20,,,,300,900,90,0.4,,,,,,,,,,,,,,,,,,,,
#amb_air_narrow_2_l,amb\environment\wind\drafty\amb_wind_drafty_l_2.wav,AMB_WIND_LOOP_3D,,,,59,59,100,1200,1201,,,,,2,priority,,,,,,,,,,loaded,,,,,20,,,,300,900,90,0.4,,,,,,,,,,,,,,,,,,,,
#amb_air_narrow_2_r,amb\environment\wind\drafty\amb_wind_drafty_r_2.wav,AMB_WIND_LOOP_3D,,,,59,59,100,1200,1201,,,,,2,priority,,,,,,,,,,loaded,,,,,20,,,,300,900,90,0.4,,,,,,,,,,,,,,,,,,,,
#amb_air_int_low,amb\environment\wind\interior\amb_wind_int_low.wav,AMB_WIND_LOOP_3D,,,,59,59,100,400,401,,,,,,,,,,,,,,,,loaded,,,,,20,,,,150,500,96,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_int_dark,amb\environment\wind\alley\alley_wind_00_l.wav,AMB_WIND_LOOP_3D,,,,63,63,150,400,401,,,,,,,,,,,,,,,,loaded,,,,,25,,,,150,400,96,0.8,,,,,,,,,,,,,,,,,,,,
